SKU,MEDIDA,MARCA,MODELO,UNIDAD,X2,X4,WEB,Columna1,PROMO,INSTALACION,Columna 1
1955515APOLLO,195/55R15,APOLLO,ALNAC 4G,,119.800,,59.900,2,LIQUIDACIÓN,Sí,
1955515ROADH12,195/55R15,ROADX,H12,55.000,,200.000,54.900,,,Sí,57.900
1955515SUMADR1,195/55R15,SUMAXX,MAX SPEED R1,,110.000,211.600,52.900,4,LIQUIDACIÓN,Sí,61.900
1955515SUMADRIFTX,195/55R15,SUMAXX,MAX DRIFTING X,55.000,,211.600,52.900,4,LIQUIDACIÓN,Sí,62.900
,195/55R15,WANLI,SPORT RACING,,,199.600,49.900,4,LIQUIDACIÓN,,
1955516MIRAMR166,195/55R16,MIRAGE,MR166,50.000,,180.000,47.900,,,Sí,
1955516ROADH1291V,195/55R16,ROADX,H12,58.000,,220.000,58.900,,,Sí,62.900
,195/55R16,SONIX,ECOPRO 99,53.000,,190.000,52.900,,,Sí,
1955516LM704,195/55R16,DUNLOP,LM704,,,359.600,89.900,4,LIQUIDACIÓN,Sí,
1955516DUNL705,195/55R16,DUNLOP,LM705,100.000,,380.000,100.000,,,Sí,
,195/55R16,FALKEN,ZE310R,,,339.600,84.900,4,LIQUIDACIÓN,Sí,
,195/55R16,NEXEN,NPRIZ GX,75.000,,280.000,74.900,,,Sí,
,195/55R20,SONIX,LZEAL 56,,200.000,380.000,99.900,,,Sí,
1956014ROADH11,195/60R14,ROADX,H11,55.000,,200.000,54.900,,,Sí,58.900
,195/60R14,SONIX,PRIMESTAR 66,48.000,,170.000,47.900,,,Sí,
1956015SPR1ID,195/60R15,DUNLOP,SPR1,100.000,,380.000,99.900,,,Sí,
1956015ROADH12,195/60R15,ROADX,H12,55.000,,200.000,57.900,,,Sí,61.900
,195/60R15,GOODRIDE,RP28,48.000,,175.000,49.900,,,Sí,
1956016GRENLMA,195/60R16C,GREENLANDER,LMAX 9,67.000,,260.000,64.900,,,Sí,
1956016ROADH12,195/60R16,ROADX,H12,58.000,,220.000,59.900,,,Sí,62.900
,195/60R16,ROADMARCH,PRIMESTAR 66,55.000,,200.000,52.900,,,Sí,
,195/60R16,GOODRIDE,RP 28,60.000,,220.000,57.900,,,Sí,
1956515ROADMP66LB,195/65R15,ROADMARCH,PRIMESTAR 66 LETRA BLANCA,50.000,,190.000,49.900,,,Sí,
,195/65R15,ROADMARCH,PRIME AS,50.000,,190.000,49.900,,,Sí,
1956515APOLLO,195/65R15,APOLLO,M UNITED,,,259.600,64.900,4,LIQUIDACIÓN,Sí,
1956515BRIDT001,195/65R15,BRIDGESTONE,TURANZA T001,,,339.600,84.900,4,LIQUIDACIÓN,Sí,
1956515KUMHO,195/65R15,KUMHO,ECOWING,,119.800,,59.900,2,LIQUIDACIÓN,Sí,
1956515NXAH5,195/65R15,NEXEN,NPRIZ AH5,,,279.600,69.900,4,LIQUIDACIÓN,Sí,
1956515NXGX,195/65R15,NEXEN,NPRIZ GX,,,239.600,59.900,4,LIQUIDACIÓN,Sí,
,195/65R15,SONIX,ECOPRO 99,45.000,,170.000,42.900,,,Sí,
1956515ROADH12V,195/65R15,ROADX,H12,60.000,,220.000,59.900,,,Sí,64.900
,195/70R14,GOODRIDE,RP 28,52.000,,190.000,49.900,,,Sí,
,195/70R14,SONIX,PRIMESTAR 66,45.000,,170.000,44.900,,,Sí,
1957015COMF350,195/70R15C,COMFORSER,CF350,70.000,,260.000,69.900,,,Sí,82.900
,195/70R15C,ROADWING,RW 05,65.000,,240.000,64.900,,,Sí,
,195/75R16C,MIRAGE,MR300,70.000,,260.000,69.900,,,Sí,
,195/80R15,DUNLOP,AT20,70.000,,270.000,79.900,,,Sí,
,195R14C,MIRAGE,MR300,60.000,,225.000,59.900,,,Sí,
,195R15C,ROADMARCH,PRIMEVAN 36,65.000,,245.000,64.900,,,Sí,
,195R15C,NEXEN,ROADIAN CT8,100.000,,370.000,99.900,,,Sí,
2054017ROADU11,205/40ZR17,ROADX,U11,60.000,,220.000,60.900,,,Sí,60.900
,205/40ZR17,ROADMARCH,UHP 08 C/CUBRE PESTAÑA,,,239.600,59.900,4,LIQUIDACION,Sí,
,205/40ZR17,ROADMARCH,PRIME AS HUELLA V,,,250.000,64.900,,,Sí,
,205/40R17,WANLI,SA302,55.000,,200.000,54.900,,,Sí,
,205/40R18,LING LONG,GREEN MAX,80.000,,300.000,79.900,,,Sí,
2054516ROADH12,205/45R16,ROADX,H12,55.000,,200.000,55.900,,,Sí,58.900
,205/45R16,SONIX,UHP 08,50.000,,185.000,49.900,,,Sí,
,205/45R16,GOODRIDE,SA 57,,,239.600,59.900,4,LIQUIDACIÓN,Sí,
,205/45R16,SUMAXX,Z1,,,250.000,64.900,,,Sí,69.900
,205/45ZR17,SONIX,UHP 08,55.000,,200.000,54.900,,,Sí,
2054517ROADU11,205/45ZR17,ROADX,U11,60.000,,220.000,61.900,,,Sí,65.900
,205/45R17,GOODRIDE,SA 57,,,239.600,59.900,4,LIQUIDACIÓN,Sí,
2055015ROADH12,205/50R15,ROADX,H12,60.000,,220.000,65.900,,,Sí,69.900
2055015ROADMP66,205/50R15,ROADMARCH,PRIMESTAR 66,50.000,,185.000,47.900,,,Sí,
,205/50R15,SONIX,PRIMESTAR 66,50.000,,185.000,47.900,,,Sí,
,205/50R16,SONIX,ECOPRO 99,55.000,,200.000,54.900,,,Sí,
2055016ROADU11,205/50ZR16,ROADX,U11,60.000,,220.000,63.900,,,Sí,67.900
2055017BRIDT005,205/50R17,BRIDGESTONE,TURANZA T005,,249.800,,124.900,2,LIQUIDACIÓN,Sí,
2055017DUNLL70,205/50R17,DUNLOP,LM705,120.000,,450.000,120.000,,,Sí,
2055017ROADU11,205/50ZR17,ROADX,U11,70.000,,260.000,68.900,,,Sí,72.900
