SKU;MEDIDA;MARCA;MODELO;UNIDAD;X2;X4;WEB;Columna1;PROMO;INSTALACION;Columna 1
;185/65R15;GOODRIDE;RP 28;50.000;;195.000;49.900;;;Sí;55.900
;185/70R13;ROADX;H11;45.000;;175.000;49.900;;;Sí;
;185/70R14;WANLI;SP026;43.000;;170.000;42.900;;;Sí;52.900
;185/70R14;ROADX;H11;48.000;;185.000;44.900;;;Sí;
;195/40ZR17;LING LONG;GREEN MAX;55.000;;210.000;49.900;;;Sí;51.900
;195/40ZR17;ROADX;U11;65.000;;250.000;59.900;;;Sí;
;195/40ZR17;SONIX;LZEAL 56 C/CUBRE PESTAÑA;70.000;;270.000;64.900;;;Sí;69.900
;195/45R15;ROADX;H12;55.000;;210.000;54.900;;;Sí;
;195/45R15;SONIX;LZEAL 56;48.000;;185.000;44.900;;;Sí;57.900
;195/45R16;ROADX;H12;55.000;;210.000;54.900;;;Sí;
;195/45R16;SONIX;UHP 08;50.000;;190.000;49.900;;;Sí;
;195/45R17;SONIX;UHP 08;70.000;;260.000;64.900;;;Sí;57.900
;195/50R15;NEXEN;NPRIZ GX;60.000;;220.000;54.900;;;Sí;
;195/50R15;ROADX;H12;50.000;;190.000;49.900;;;Sí;
;195/50R15;ROADMARCH;PRIME AS;;105000;200.000;54.900;;;Sí;
;195/50R15;SONIX;ECOPRO 99;45.000;;175.000;42.900;;;Sí;52.900
;195/50R15;SUMAXX;MAX SPEED R1;;110000;200.000;49.900;;;Sí;
;195/50R15;SUMAXX;MAX DRIFTING X;55.000;;215.000;49.900;;;Sí;56.900
;195/50R15;WANLI;SPORT RACING;53.000;;200.000;49.900;;;Sí;64.900
;195/50R16;ROADX;H12;55.000;;215.000;52.900;;;Sí;
;195/50R16;GOODRIDE;RP 28;57.000;;220.000;52.900;;;Sí;
;195/50R16;SONIX;ECOPRO 99;50.000;;190.000;49.900;;;Sí;58.900
;195/55R10;WANDA;WR301;50.000;;195.000;49.900;;;Sí;
;195/55R15;APTANY;RP203;45.000;;175.000;42.900;;;Sí;
;195/55R15;SONIX;ECOPRO 99;48.000;;185.000;44.900;;;Sí;
;195/55R15;GOODRIDE;RP 28;50.000;;190.000;47.900;;;Sí;
;195/55R15;APOLLO;ALNAC 4G;;120.000;;59.900;;;Sí;
;195/55R15;ROADX;H12;50.000;;190000;49.900;;;Sí;
;195/55R15;SUMAXX;MAX SPEED R1;;110.000;215.000;52.900;;;Sí;57.900
;195/55R15;SUMAXX;MAX DRIFTING X;55.000;;215.000;52.900;;;Sí;61.900
;195/55R15;WANLI;SPORT RACING;55.000;;200.000;49.900;;;Sí;62.900
;195/55R15;NEXEN;NPRIZ GX;60.000;;230.000;59.900;;;;
;195/55R16;ROADWING;RW581;50.000;;180.000;44.900;;;Sí;
;195/55R16;ROADX;H12;58.000;;225.000;54.900;;;Sí;62.900
;195/55R16;SONIX;ECOPRO 99;53.000;;200.000;49.900;;;Sí;
;195/55R16;DUNLOP ;LM704;;;340.000;84.900;;;Sí;
;195/55R16;DUNLOP ;LM705;100.000;;380.000;94.900;;;Sí;
;195/55R16;FALKEN;ZE310R;;;350.000;;;;Sí;
;195/55R16;BRIDGESTONE;ER300 RUNFLAT;120.000;;400.000;109.900;;;Sí;
;195/55R16;NEXEN;NPRIZ GX;75.000;;280.000;74.900;;;Sí;
;195/55R20;SONIX;LZEAL 56;;200000;380.000;99.900;;;Sí;58.900
;195/60R14;ROADX;H11;48.000;;180.000;44.900;;;Sí;
;195/60R15;GOODRIDE;RP 28;50.000;;180.000;44.900;;;Sí;
;195/60R15;DUNLOP ;SPR1;100.000;;380.000;94.900;;;Sí;61.900
;195/60R15;ROADX;H12;50.000;;190.000;49.900;;;Sí;
;195/60R16C;GREENLANDER;LMAX 9;67.000;;260.000;64.900;;;Sí;
;195/60R16 ;ROADX;H12;58.000;;220.000;54.900;;;Sí;62.900
;195/60R16 ;ROADMARCH;PRIMESTAR 66  ;55.000;;210.000;49.900;;;Sí;
;195/60R16 ;GOODRIDE;RP 28;60.000;;230.000;54.900;;;Sí;
;195/65R15;ROADMARCH;PRIMESTAR 66 LETRA BLANCA;50.000;;190.000;49.900;;;Sí;
;195/65R15;ROADMARCH;PRIME AS;50.000;;190.000;49.900;;;Sí;
;195/65R15;NEXEN;NPRIZ AH5;75.000;;290.000;74.900;;;Sí;
;195/65R15;NEXEN;NPRIZ GX;65.000;;240.000;59.900;;;Sí;
;195/65R15;SONIX;ECOPRO 99;45.000;;175000;42.900;;;Sí;
;195/65R15;ROADX;H12;60.000;115000;220.000;54.900;;;Sí;
;195/70R14;GOODRIDE;RP 28;52.000;;200.000;49.900;;;Sí;
;195/70R15C;COMFORSER;CF350;70.000;;270.000;69.900;;;Sí;
;195/70R15C;ROADWING;RW 05;65.000;;250.000;64.900;;;Sí;64.900
;195/75R16C;MIRAGE;MR300;70.000;;270.000;69.900;;;Sí;
;195R14C;MIRAGE;MR300;60.000;;230.000;59.900;;;Sí;
;195R14C;SUNSET;MT;85.000;;320.000;84.900;;;Sí;82.900
;195R15C;ROADMARCH;PRIMEVAN 36;65.000;;250.000;64.900;;;Sí;
;195R15C;NEXEN;ROADIAN CT8;100.000;;380.000;94.900;;;Sí;
;195R15C;SUMAXX;AT;95.000;;360.000;89.900;;;Sí;
;205/40R17;WANLI;SA302;55.000;;200.000;49.900;;;Sí;
;205/40ZR17;ROADX;U11;55.000;;210.000;54.900;;;Sí;
;205/40ZR17;ROADMARCH;UHP 08 C/CUBRE PESTAÑA;;120000;230.000;59.900;;;Sí;
;205/40ZR17;ROADMARCH;PRIME AS HUELLA V;;;250.000;64.900;;;Sí;60.900
;205/40R18;LING LONG;GREEN MAX  ;80.000;;300.000;74.900;;;Sí;
;205/45R16;ROADX;H12;50.000;;195.000;54.900;;;Sí;
;205/45R16;GOODRIDE;SA 57;65.000;;250.000;64.900;;;Sí;
;205/45ZR17;SONIX;UHP 08;55.000;108.000;210.000;54.900;;;Sí;
;205/45ZR17;ROADX;U11;60.000;;230.000;59.900;;;Sí;58.900
;205/45R17;GOODRIDE;SA 57;65.000;;250.000;64.900;;;Sí;
